president, education, party_label
None, Andrew_Jackson, Democratic Party (United States)
None, Andrew_Johnson, Democratic Party (United States)
None, Abraham_Lincoln, http://dbpedia.org/resource/Republican_Party_(United_States)
None, Barack_Obama, Democratic Party (United States)
Miami University, Benjamin_Harrison, Republican Party (United States)
University College Oxford, Bill_Clinton, Democratic Party (United States)
Union College, Chester_A._Arthur, Republican Party (United States)
Amherst College, Calvin_Coolidge, Republican Party (United States)
United States Military Academy, Dwight_D._Eisenhower, Republican Party (United States)
Harvard College, Franklin_D._Roosevelt, Democratic Party (United States)
Bowdoin College, Franklin_Pierce, Democratic Party (United States)
Yale University, George_H._W._Bush, Republican Party (United States)
Harvard Business School, George_W._Bush, Republican Party (United States)
None, George_Washington, None
University of Michigan, Gerald_Ford, Republican Party (United States)
None, Grover_Cleveland, Democratic Party (United States)
None, Harry_S._Truman, Democratic Party (United States)
Stanford University, Herbert_Hoover, Republican Party (United States)
None, Jimmy_Carter, Democratic Party (United States)
Harvard College, John_Adams, Federalist Party
Princeton University, James_Madison, Democratic-Republican Party
College of William & Mary, James_Monroe, Democratic-Republican Party
Harvard University, John_F._Kennedy, Democratic Party (United States)
Harvard College, John_Quincy_Adams, http://dbpedia.org/resource/Whig_Party_(United_States)
College of William & Mary, John_Tyler, Independent politician
Williams College, James_A._Garfield, Republican Party (United States)
Dickinson College, James_Buchanan, Democratic Party (United States)
University of North Carolina at Chapel Hill, James_K._Polk, Democratic Party (United States)
Texas State University, Lyndon_B._Johnson, Democratic Party (United States)
None, Martin_Van_Buren, http://dbpedia.org/resource/Democratic-Republican_Party
None, Millard_Fillmore, Know Nothing
None, Morgan_Mason, None
Eureka College, Ronald_Reagan, Republican Party (United States)
Kenyon College, Rutherford_B._Hayes, Republican Party (United States)
Duke University, Richard_Nixon, Republican Party (United States)
Harvard College, Theodore_Roosevelt, http://dbpedia.org/resource/Republican_Party_(United_States)
College of William & Mary, Thomas_Jefferson, Democratic-Republican Party
United States Military Academy, Ulysses_S._Grant, http://dbpedia.org/resource/Republican_Party_(United_States)
Ohio Central College, Warren_G._Harding, Republican Party (United States)
University of Pennsylvania, William_Henry_Harrison, Whig Party (United States)
University of Cincinnati College of Law, William_Howard_Taft, Republican Party (United States)
Allegheny College, William_McKinley, Republican Party (United States)
Princeton University, Woodrow_Wilson, Democratic Party (United States)
None, Zachary_Taylor, Whig Party (United States)
